human,machine
12 12 08,2008-12-12
16 november 1973,1973-11-16
sunday december 7 1975,1975-12-07
tuesday march 5 2013,2013-03-05
11/29/86,1986-11-29
saturday january 22 1977,1977-01-22
24 apr 1995,1995-04-24
friday september 7 1973,1973-09-07
friday august 29 1980,1980-08-29
monday december 13 2004,2004-12-13
tuesday october 30 2007,2007-10-30
monday april 17 2000,2000-04-17
monday august 4 2008,2008-08-04
friday may 13 2005,2005-05-13
12 mar 1978,1978-03-12
4 jan 2013,2013-01-04
tuesday december 12 2000,2000-12-12
tuesday august 30 1983,1983-08-30
sunday december 24 2000,2000-12-24
june 6 2017,2017-06-06
tuesday january 2 1996,1996-01-02
14.07.07,2007-07-14
20 jul 2018,2018-07-20
12 sep 2005,2005-09-12
may 6 1991,1991-05-06
saturday september 1 2001,2001-09-01
21 07 88,1988-07-21
26.10.89,1989-10-26
7/4/96,1996-07-04
29 feb 1992,1992-02-29
monday december 9 2013,2013-12-09
february 5 2006,2006-02-05
sunday may 2 1976,1976-05-02
saturday march 27 1982,1982-03-27
saturday april 22 1995,1995-04-22
monday may 12 1975,1975-05-12
10.03.83,1983-03-10
thursday august 13 1992,1992-08-13
16 jun 1988,1988-06-16
saturday november 24 2012,2012-11-24
september 25 2004,2004-09-25
wednesday june 21 2017,2017-06-21
22 dec 1996,1996-12-22
12/25/85,1985-12-25
22.07.15,2015-07-22
may 4 2016,2016-05-04
tuesday december 11 1984,1984-12-11
monday september 12 1994,1994-09-12
may 7 1976,1976-05-07
march 9 1983,1983-03-09
tuesday march 12 2002,2002-03-12
23 september 2012,2012-09-23
august 31 1996,1996-08-31
september 2 1999,1999-09-02
monday october 21 2002,2002-10-21
thursday november 19 2015,2015-11-19
friday july 14 2000,2000-07-14
sunday february 4 1996,1996-02-04
saturday january 26 1974,1974-01-26
7 august 1995,1995-08-07
05 jul 1996,1996-07-05
20 february 1983,1983-02-20
14 aug 1970,1970-08-14
26 jul 2008,2008-07-26
thursday september 4 1975,1975-09-04
07 feb 1985,1985-02-07
apr 7 1992,1992-04-07
21.12.84,1984-12-21
18.04.09,2009-04-18
thursday september 18 2003,2003-09-18
monday october 25 1971,1971-10-25
wednesday june 21 1978,1978-06-21
20 jan 1975,1975-01-20
6 may 1979,1979-05-06
thursday june 1 1989,1989-06-01
9/5/16,2016-09-05
12 july 2006,2006-07-12
29 aug 1998,1998-08-29
1/18/97,1997-01-18
friday november 20 2015,2015-11-20
may 25 1970,1970-05-25
9 october 1988,1988-10-09
monday september 23 2002,2002-09-23
1 07 91,1991-07-01
aug 10 1999,1999-08-10
wednesday may 19 1993,1993-05-19
tuesday march 9 2004,2004-03-09
12 07 80,1980-07-12
17 september 1989,1989-09-17
27 apr 2004,2004-04-27
thursday november 3 2011,2011-11-03
tuesday october 31 2006,2006-10-31
22 jan 2000,2000-01-22
15 apr 2001,2001-04-15
tuesday december 22 2009,2009-12-22
1 01 15,2015-01-01
monday february 9 2009,2009-02-09
29 june 1976,1976-06-29
8 aug 1975,1975-08-08
25 nov 2006,2006-11-25
wednesday november 30 2016,2016-11-30
28 jan 2001,2001-01-28
sunday september 2 1990,1990-09-02
wednesday november 25 1970,1970-11-25
thursday january 28 1982,1982-01-28
18 jan 1980,1980-01-18
may 11 1987,1987-05-11
2 may 2001,2001-05-02
monday may 2 1983,1983-05-02
9/30/94,1994-09-30
7 october 2011,2011-10-07
thursday september 2 1993,1993-09-02
feb 1 2014,2014-02-01
tuesday june 13 2000,2000-06-13
tuesday november 23 1976,1976-11-23
saturday january 30 1982,1982-01-30
october 13 1979,1979-10-13
apr 17 1985,1985-04-17
16 jun 1972,1972-06-16
5 jun 1995,1995-06-05
august 2 1998,1998-08-02
saturday october 27 1973,1973-10-27
tuesday october 27 1992,1992-10-27
27 january 1972,1972-01-27
sunday september 24 2017,2017-09-24
sunday march 30 1986,1986-03-30
monday april 26 1971,1971-04-26
wednesday november 30 2005,2005-11-30
monday february 14 1994,1994-02-14
11/18/90,1990-11-18
sunday april 14 1996,1996-04-14
29 jun 2014,2014-06-29
12 08 08,2008-08-12
friday august 9 1996,1996-08-09
13 june 2012,2012-06-13
3/18/90,1990-03-18
may 15 2011,2011-05-15
22 may 2001,2001-05-22
wednesday january 2 2002,2002-01-02
september 18 2001,2001-09-18
july 24 2015,2015-07-24
wednesday october 14 1987,1987-10-14
5 september 2011,2011-09-05
sunday january 14 1973,1973-01-14
15 july 1998,1998-07-15
16 april 2007,2007-04-16
thursday may 15 2008,2008-05-15
13 feb 2013,2013-02-13
9/11/02,2002-09-11
saturday september 18 1982,1982-09-18
friday january 6 1978,1978-01-06
saturday may 23 1998,1998-05-23
may 23 1997,1997-05-23
monday october 22 1979,1979-10-22
monday june 19 1989,1989-06-19
monday march 16 2009,2009-03-16
friday july 1 1983,1983-07-01
10/4/99,1999-10-04
09 dec 1995,1995-12-09
6 may 1974,1974-05-06
wednesday november 22 1995,1995-11-22
oct 1 1981,1981-10-01
6/29/98,1998-06-29
april 30 2007,2007-04-30
march 7 1983,1983-03-07
4/7/14,2014-04-07
22 aug 2017,2017-08-22
saturday june 11 1977,1977-06-11
friday march 18 1983,1983-03-18
february 20 2000,2000-02-20
12/13/04,2004-12-13
november 4 2005,2005-11-04
november 29 1993,1993-11-29
30 04 81,1981-04-30
saturday july 19 1980,1980-07-19
25 mar 1979,1979-03-25
monday january 3 2000,2000-01-03
6 july 2011,2011-07-06
24 apr 2007,2007-04-24
jan 21 2009,2009-01-21
friday july 13 2012,2012-07-13
thursday january 12 2012,2012-01-12
june 7 1980,1980-06-07
monday march 26 1990,1990-03-26
tuesday july 19 1988,1988-07-19
tuesday january 2 2018,2018-01-02
5 may 2001,2001-05-05
saturday january 9 1982,1982-01-09
saturday november 15 1980,1980-11-15
31 jan 2015,2015-01-31
sunday may 27 2007,2007-05-27
18 may 1977,1977-05-18
july 19 1990,1990-07-19
21 august 1988,1988-08-21
thursday september 18 1980,1980-09-18
sunday may 11 1986,1986-05-11
thursday december 20 1984,1984-12-20
friday november 17 1989,1989-11-17
sunday july 1 2001,2001-07-01
monday february 13 2017,2017-02-13
december 17 1988,1988-12-17
december 12 2008,2008-12-12
7 march 2006,2006-03-07
may 30 2009,2009-05-30
tuesday february 28 1995,1995-02-28
tuesday november 27 2007,2007-11-27
monday april 5 1999,1999-04-05
saturday february 24 2001,2001-02-24
wednesday july 29 1998,1998-07-29
04.12.03,2003-12-04
thursday february 6 2003,2003-02-06
9 august 2014,2014-08-09
may 17 1984,1984-05-17
tuesday november 25 1980,1980-11-25
thursday march 3 1983,1983-03-03
09.06.90,1990-06-09
13 feb 1996,1996-02-13
monday july 26 2010,2010-07-26
25 nov 1982,1982-11-25
30.07.94,1994-07-30
december 9 1983,1983-12-09
07.12.98,1998-12-07
sunday june 14 1987,1987-06-14
august 25 2004,2004-08-25
august 9 2018,2018-08-09
september 30 2009,2009-09-30
06.10.98,1998-10-06
saturday december 4 1993,1993-12-04
march 12 1971,1971-03-12
thursday november 3 1988,1988-11-03
14 april 1992,1992-04-14
21 may 1992,1992-05-21
25 jan 1995,1995-01-25
monday july 9 1979,1979-07-09
thursday november 18 1993,1993-11-18
january 12 2010,2010-01-12
october 11 1972,1972-10-11
march 18 1973,1973-03-18
monday april 16 1984,1984-04-16
23 june 1973,1973-06-23
13 mar 1975,1975-03-13
tuesday august 4 1981,1981-08-04
17 02 03,2003-02-17
22 dec 1970,1970-12-22
friday april 6 1979,1979-04-06
7 february 1994,1994-02-07
wednesday may 3 1978,1978-05-03
12.03.17,2017-03-12
04 mar 2001,2001-03-04
30 august 1978,1978-08-30
monday october 26 1970,1970-10-26
october 22 2014,2014-10-22
monday august 27 2001,2001-08-27
07.03.06,2006-03-07
friday december 30 1994,1994-12-30
29 october 2010,2010-10-29
30 jul 1989,1989-07-30
monday november 23 2009,2009-11-23
28 october 1973,1973-10-28
sunday november 12 1978,1978-11-12
friday june 10 1988,1988-06-10
monday january 4 1993,1993-01-04
october 28 1980,1980-10-28
16 august 1970,1970-08-16
wednesday july 9 1986,1986-07-09
tuesday january 6 1987,1987-01-06
26 jan 2004,2004-01-26
11 oct 1982,1982-10-11
wednesday april 6 2016,2016-04-06
thursday november 8 1973,1973-11-08
09 mar 1999,1999-03-09
may 17 2000,2000-05-17
monday may 17 1982,1982-05-17
monday october 29 2001,2001-10-29
monday march 19 2012,2012-03-19
november 24 2009,2009-11-24
sunday may 1 2005,2005-05-01
24 jul 2003,2003-07-24
wednesday november 15 1989,1989-11-15
wednesday march 4 2009,2009-03-04
29 sep 1971,1971-09-29
thursday march 19 2009,2009-03-19
3/27/91,1991-03-27
monday september 14 2015,2015-09-14
16 august 1977,1977-08-16
wednesday march 7 1979,1979-03-07
saturday august 20 1994,1994-08-20
wednesday april 11 1990,1990-04-11
wednesday january 2 1991,1991-01-02
23 june 2001,2001-06-23
sunday november 17 1974,1974-11-17
july 20 2010,2010-07-20
sunday august 21 1983,1983-08-21
monday october 15 2012,2012-10-15
thursday september 1 2011,2011-09-01
17.11.02,2002-11-17
25 march 1994,1994-03-25
monday october 18 1982,1982-10-18
april 7 1995,1995-04-07
december 28 2002,2002-12-28
saturday december 29 1990,1990-12-29
tuesday june 16 1992,1992-06-16
monday february 11 2002,2002-02-11
wednesday april 9 2008,2008-04-09
06.05.15,2015-05-06
thursday november 8 2012,2012-11-08
saturday january 29 2011,2011-01-29
august 17 1972,1972-08-17
apr 6 1999,1999-04-06
24 feb 2002,2002-02-24
6 apr 1983,1983-04-06
wednesday march 5 2014,2014-03-05
monday january 29 2001,2001-01-29
may 29 1972,1972-05-29
wednesday november 15 1978,1978-11-15
9/27/82,1982-09-27
friday november 27 2009,2009-11-27
nov 4 1971,1971-11-04
22 01 78,1978-01-22
wednesday november 11 1992,1992-11-11
tuesday december 21 2010,2010-12-21
wednesday november 10 2004,2004-11-10
sep 13 1975,1975-09-13
sunday august 29 1971,1971-08-29
6 april 2016,2016-04-06
14 may 1997,1997-05-14
sunday december 31 1995,1995-12-31
11 09 79,1979-09-11
june 5 1974,1974-06-05
thursday july 9 1981,1981-07-09
monday march 17 1986,1986-03-17
4/5/87,1987-04-05
06 dec 2009,2009-12-06
4 february 2005,2005-02-04
october 5 1970,1970-10-05
wednesday january 7 2015,2015-01-07
10 nov 1988,1988-11-10
14 dec 1996,1996-12-14
saturday march 11 1995,1995-03-11
11 10 14,2014-10-11
sunday october 2 2005,2005-10-02
27 february 1990,1990-02-27
monday october 11 1999,1999-10-11
september 16 2013,2013-09-16
29 september 1990,1990-09-29
17 december 2006,2006-12-17
31 oct 2001,2001-10-31
tuesday may 11 1971,1971-05-11
feb 18 1997,1997-02-18
9 jul 2013,2013-07-09
12 12 87,1987-12-12
wednesday december 21 1977,1977-12-21
jun 27 1971,1971-06-27
wednesday march 6 1996,1996-03-06
june 12 1998,1998-06-12
monday january 10 2005,2005-01-10
tuesday march 22 1988,1988-03-22
28.11.93,1993-11-28
7/6/05,2005-07-06
31.08.90,1990-08-31
monday december 9 1985,1985-12-09
17 february 1970,1970-02-17
thursday november 27 1980,1980-11-27
3 jun 2004,2004-06-03
wednesday march 15 1972,1972-03-15
april 9 1994,1994-04-09
january 18 2011,2011-01-18
05.03.83,1983-03-05
30 07 77,1977-07-30
october 11 1987,1987-10-11
friday april 6 1984,1984-04-06
wednesday october 28 1981,1981-10-28
4 november 1988,1988-11-04
1/18/85,1985-01-18
8 august 1991,1991-08-08
17 aug 1980,1980-08-17
september 19 2004,2004-09-19
monday december 19 1988,1988-12-19
tuesday january 27 1987,1987-01-27
tuesday october 20 2015,2015-10-20
30 mar 2017,2017-03-30
friday june 13 1997,1997-06-13
2 dec 1994,1994-12-02
may 30 2017,2017-05-30
wednesday may 6 1992,1992-05-06
9 april 2014,2014-04-09
september 15 1974,1974-09-15
24 apr 2016,2016-04-24
tuesday october 24 1972,1972-10-24
tuesday october 30 2018,2018-10-30
12 aug 2007,2007-08-12
tuesday november 14 2017,2017-11-14
22 november 1986,1986-11-22
saturday february 23 2013,2013-02-23
november 24 2000,2000-11-24
12.11.90,1990-11-12
friday may 17 2013,2013-05-17
16 october 1997,1997-10-16
june 13 2011,2011-06-13
thursday october 17 2013,2013-10-17
sunday october 11 1998,1998-10-11
12 jan 1983,1983-01-12
friday february 21 1992,1992-02-21
may 20 1977,1977-05-20
15 02 86,1986-02-15
friday november 15 1996,1996-11-15
friday may 15 1998,1998-05-15
9 sep 1975,1975-09-09
8/10/85,1985-08-10
23 apr 2004,2004-04-23
oct 24 1971,1971-10-24
29 oct 1998,1998-10-29
august 17 1971,1971-08-17
nov 21 2014,2014-11-21
19 september 1983,1983-09-19
12 february 2003,2003-02-12
16 jun 2018,2018-06-16
saturday march 15 1980,1980-03-15
monday may 16 2016,2016-05-16
tuesday september 5 2006,2006-09-05
sunday july 15 2018,2018-07-15
december 18 1999,1999-12-18
26 february 1991,1991-02-26
december 5 2010,2010-12-05
04.10.04,2004-10-04
feb 5 2000,2000-02-05
tuesday february 27 2018,2018-02-27
14 january 1970,1970-01-14
6 september 2017,2017-09-06
20 03 82,1982-03-20
monday march 12 2001,2001-03-12
sep 29 2015,2015-09-29
monday june 10 2002,2002-06-10
23 september 2018,2018-09-23
thursday september 30 1976,1976-09-30
mar 23 1995,1995-03-23
monday november 17 1997,1997-11-17
september 5 1974,1974-09-05
friday april 30 1976,1976-04-30
july 20 2009,2009-07-20
april 2 1981,1981-04-02
17 september 1997,1997-09-17
august 27 1977,1977-08-27
31 jul 1982,1982-07-31
26 january 2014,2014-01-26
sunday october 3 1982,1982-10-03
30 may 1979,1979-05-30
19 march 1971,1971-03-19
october 4 2013,2013-10-04
11/27/97,1997-11-27
saturday march 10 2001,2001-03-10
25 jul 2018,2018-07-25
july 26 1991,1991-07-26
february 4 2018,2018-02-04
wednesday august 30 1989,1989-08-30
november 15 2005,2005-11-15
saturday september 22 1979,1979-09-22
31 jan 1971,1971-01-31
thursday march 25 2010,2010-03-25
20.02.85,1985-02-20
april 25 2006,2006-04-25
25 april 1996,1996-04-25
monday november 19 2007,2007-11-19
27 march 1987,1987-03-27
saturday may 8 1976,1976-05-08
tuesday august 22 1989,1989-08-22
thursday june 1 1972,1972-06-01
tuesday april 18 2017,2017-04-18
november 25 2000,2000-11-25
sunday november 7 1971,1971-11-07
28 march 2007,2007-03-28
1/14/85,1985-01-14
26 august 2011,2011-08-26
saturday march 25 2006,2006-03-25
16 feb 2010,2010-02-16
thursday july 22 2010,2010-07-22
thursday september 18 2008,2008-09-18
aug 31 1971,1971-08-31
15 may 1970,1970-05-15
18 06 86,1986-06-18
17 06 84,1984-06-17
30 nov 2004,2004-11-30
28 september 1997,1997-09-28
22 sep 1990,1990-09-22
09.02.94,1994-02-09
07 may 1972,1972-05-07
monday october 24 2016,2016-10-24
sunday april 27 1997,1997-04-27
tuesday october 19 1976,1976-10-19
thursday june 5 2003,2003-06-05
june 12 2008,2008-06-12
19 may 1986,1986-05-19
february 2 2002,2002-02-02
friday december 6 1991,1991-12-06
saturday march 3 2001,2001-03-03
16 jul 1996,1996-07-16
saturday december 16 1978,1978-12-16
wednesday february 1 1984,1984-02-01
thursday august 27 1998,1998-08-27
january 31 1974,1974-01-31
wednesday september 26 1984,1984-09-26
30 jun 1974,1974-06-30
19 october 1984,1984-10-19
november 1 1987,1987-11-01
14 aug 2006,2006-08-14
sunday may 15 2005,2005-05-15
thursday april 25 1985,1985-04-25
november 25 2000,2000-11-25
sunday september 13 1970,1970-09-13
18 aug 2002,2002-08-18
10 oct 1980,1980-10-10
august 5 1977,1977-08-05
wednesday february 9 1994,1994-02-09
8/6/14,2014-08-06
friday may 22 1998,1998-05-22
17 05 94,1994-05-17
22 april 2008,2008-04-22
wednesday july 22 1987,1987-07-22
jun 24 1971,1971-06-24
sunday october 31 1993,1993-10-31
august 19 1987,1987-08-19
1 august 1984,1984-08-01
5 08 11,2011-08-05
tuesday july 30 1985,1985-07-30
24 july 1996,1996-07-24
sunday september 24 2017,2017-09-24
15 may 2005,2005-05-15
thursday february 8 1990,1990-02-08
9 october 1991,1991-10-09
23.08.18,2018-08-23
wednesday october 23 1985,1985-10-23
saturday december 12 2015,2015-12-12
dec 20 2000,2000-12-20
friday may 14 1999,1999-05-14
friday november 23 2001,2001-11-23
saturday september 1 2007,2007-09-01
11 march 1971,1971-03-11
september 6 1988,1988-09-06
07 aug 1987,1987-08-07
27 september 1995,1995-09-27
thursday march 7 1985,1985-03-07
friday may 3 2002,2002-05-03
14 november 1980,1980-11-14
mar 7 2017,2017-03-07
august 23 2008,2008-08-23
tuesday march 25 2003,2003-03-25
monday october 25 1999,1999-10-25
7/23/12,2012-07-23
wednesday april 30 2003,2003-04-30
monday december 28 1992,1992-12-28
21 nov 2006,2006-11-21
thursday september 7 1989,1989-09-07
1 may 1997,1997-05-01
29 aug 1993,1993-08-29
wednesday january 7 2015,2015-01-07
feb 14 1996,1996-02-14
monday may 13 1991,1991-05-13
may 7 1987,1987-05-07
november 14 2018,2018-11-14
saturday may 26 2018,2018-05-26
01 jul 2004,2004-07-01
september 19 1998,1998-09-19
tuesday september 2 1980,1980-09-02
friday may 11 1990,1990-05-11
sunday january 24 1988,1988-01-24
sunday october 21 2018,2018-10-21
july 1 1988,1988-07-01
7 jul 1991,1991-07-07
november 7 2006,2006-11-07
saturday july 10 1993,1993-07-10
saturday october 19 2002,2002-10-19
21 may 1992,1992-05-21
sunday november 15 1981,1981-11-15
sunday june 20 1982,1982-06-20
15 november 2007,2007-11-15
sunday april 10 1988,1988-04-10
february 26 2016,2016-02-26
saturday august 25 2018,2018-08-25
jul 12 2005,2005-07-12
04 feb 1981,1981-02-04
tuesday july 2 2002,2002-07-02
monday may 24 1971,1971-05-24
monday january 31 2000,2000-01-31
saturday august 7 2010,2010-08-07
january 20 1993,1993-01-20
monday november 16 1998,1998-11-16
saturday april 6 1985,1985-04-06
saturday september 2 2017,2017-09-02
may 3 1976,1976-05-03
tuesday september 30 1980,1980-09-30
19 november 1990,1990-11-19
friday february 13 1981,1981-02-13
friday march 26 1976,1976-03-26
sunday april 16 1995,1995-04-16
3 august 2008,2008-08-03
may 9 1972,1972-05-09
wednesday july 27 2016,2016-07-27
25 feb 1986,1986-02-25
28 jun 1989,1989-06-28
sunday october 21 2018,2018-10-21
sunday april 19 1970,1970-04-19
15.01.19,2019-01-15
october 1 2001,2001-10-01
saturday march 30 1985,1985-03-30
23 oct 2000,2000-10-23
13 june 1980,1980-06-13
25 april 1976,1976-04-25
sunday october 10 1976,1976-10-10
sunday february 23 1997,1997-02-23
wednesday july 23 1980,1980-07-23
6 april 2009,2009-04-06
wednesday april 19 1989,1989-04-19
friday february 15 1985,1985-02-15
6/27/95,1995-06-27
saturday march 13 1993,1993-03-13
friday april 19 1991,1991-04-19
thursday december 14 2017,2017-12-14
friday september 11 1970,1970-09-11
19 jun 1990,1990-06-19
13 sep 1983,1983-09-13
27 jun 1990,1990-06-27
thursday july 20 1989,1989-07-20
thursday january 17 1985,1985-01-17
monday july 17 1972,1972-07-17
sunday may 2 1976,1976-05-02
1 nov 2002,2002-11-01
tuesday july 26 1977,1977-07-26
12 04 75,1975-04-12
tuesday june 23 2015,2015-06-23
17 september 2013,2013-09-17
monday june 23 1975,1975-06-23
monday november 23 1992,1992-11-23
27 feb 1979,1979-02-27
20 jun 1994,1994-06-20
march 1 2002,2002-03-01
13 jan 1992,1992-01-13
wednesday april 19 2000,2000-04-19
29 mar 1999,1999-03-29
03 feb 1977,1977-02-03
january 25 1980,1980-01-25
sep 23 2001,2001-09-23
wednesday march 29 2006,2006-03-29
1/19/85,1985-01-19
monday august 18 2003,2003-08-18
wednesday february 18 1970,1970-02-18
15 oct 1999,1999-10-15
february 11 1973,1973-02-11
31 october 2007,2007-10-31
17 04 81,1981-04-17
5 october 2011,2011-10-05
4 dec 1996,1996-12-04
july 2 1973,1973-07-02
21 february 1975,1975-02-21
sunday september 22 1996,1996-09-22
november 27 1990,1990-11-27
21 sep 1992,1992-09-21
19 apr 1991,1991-04-19
apr 18 1981,1981-04-18
friday march 21 1980,1980-03-21
12 december 2008,2008-12-12
june 2 1970,1970-06-02
november 17 2003,2003-11-17
wednesday february 22 2006,2006-02-22
thursday november 19 1970,1970-11-19
feb 20 2011,2011-02-20
saturday july 22 1972,1972-07-22
tuesday july 29 1986,1986-07-29
11 feb 2010,2010-02-11
5 jul 2002,2002-07-05
17 may 2007,2007-05-17
january 24 2015,2015-01-24
sunday july 7 1991,1991-07-07
saturday october 21 2000,2000-10-21
13 may 1986,1986-05-13
24 feb 2004,2004-02-24
august 31 2013,2013-08-31
07 jul 1971,1971-07-07
11 jul 1983,1983-07-11
monday december 26 1983,1983-12-26
saturday january 18 1975,1975-01-18
saturday december 20 1997,1997-12-20
nov 27 1996,1996-11-27
saturday march 8 1980,1980-03-08
7 mar 2005,2005-03-07
sunday november 1 1970,1970-11-01
sunday december 10 1978,1978-12-10
wednesday september 21 2005,2005-09-21
saturday april 5 2003,2003-04-05
29 11 77,1977-11-29
20 march 1972,1972-03-20
monday may 12 2014,2014-05-12
09 mar 1986,1986-03-09
05 jan 1992,1992-01-05
29 apr 1987,1987-04-29
30 dec 2006,2006-12-30
5 july 2002,2002-07-05
17 jul 1983,1983-07-17
thursday july 12 1973,1973-07-12
27 october 1992,1992-10-27
wednesday may 5 1993,1993-05-05
tuesday august 26 1980,1980-08-26
thursday march 2 2006,2006-03-02
friday july 27 2012,2012-07-27
24 july 1979,1979-07-24
saturday february 14 1970,1970-02-14
tuesday june 15 1999,1999-06-15
october 9 1983,1983-10-09
june 27 1973,1973-06-27
monday september 8 2014,2014-09-08
sunday september 13 1998,1998-09-13
3 april 2018,2018-04-03
11 november 1998,1998-11-11
19 march 2005,2005-03-19
23 mar 2010,2010-03-23
saturday april 15 1978,1978-04-15
monday june 26 1978,1978-06-26
tuesday july 28 2009,2009-07-28
8/13/03,2003-08-13
saturday october 6 1990,1990-10-06
thursday march 3 1988,1988-03-03
17 january 2011,2011-01-17
december 21 2005,2005-12-21
16 jan 2001,2001-01-16
13 september 1970,1970-09-13
saturday march 21 2015,2015-03-21
january 11 1982,1982-01-11
monday december 23 1996,1996-12-23
13 jul 2010,2010-07-13
march 17 1994,1994-03-17
30 04 74,1974-04-30
jan 24 2015,2015-01-24
25 aug 1971,1971-08-25
thursday april 16 1998,1998-04-16
saturday january 20 2007,2007-01-20
sunday february 7 2016,2016-02-07
december 30 1999,1999-12-30
27 apr 2000,2000-04-27
7 jul 2007,2007-07-07
7 august 1977,1977-08-07
05 feb 1980,1980-02-05
wednesday february 25 2015,2015-02-25
may 11 2004,2004-05-11
7 03 92,1992-03-07
saturday may 22 1976,1976-05-22
february 24 1971,1971-02-24
friday december 1 2017,2017-12-01
monday june 30 1975,1975-06-30
saturday june 25 2005,2005-06-25
1/12/70,1970-01-12
29 september 1991,1991-09-29
19 oct 2015,2015-10-19
3 mar 2012,2012-03-03
07 jan 1973,1973-01-07
december 7 1974,1974-12-07
29 october 1980,1980-10-29
april 11 1977,1977-04-11
may 27 2016,2016-05-27
9 may 2000,2000-05-09
sunday august 10 2014,2014-08-10
09.10.08,2008-10-09
7 mar 1977,1977-03-07
thursday may 18 2000,2000-05-18
26 jul 1979,1979-07-26
april 9 1986,1986-04-09
17 september 1984,1984-09-17
may 18 1971,1971-05-18
wednesday may 30 2012,2012-05-30
friday july 15 2011,2011-07-15
thursday december 17 2015,2015-12-17
saturday june 11 2005,2005-06-11
10/2/80,1980-10-02
oct 20 1975,1975-10-20
10 march 2013,2013-03-10
tuesday february 9 2010,2010-02-09
14 december 1993,1993-12-14
saturday december 9 2000,2000-12-09
friday november 23 2012,2012-11-23
sunday january 22 2012,2012-01-22
friday august 4 1989,1989-08-04
oct 16 1999,1999-10-16
august 9 1979,1979-08-09
wednesday march 19 2014,2014-03-19
13 june 2013,2013-06-13
03.06.78,1978-06-03
saturday february 17 1990,1990-02-17
june 17 1981,1981-06-17
november 7 1979,1979-11-07
tuesday october 8 1974,1974-10-08
3 december 1990,1990-12-03
jun 20 1993,1993-06-20
thursday september 3 1987,1987-09-03
11 march 1993,1993-03-11
15.02.86,1986-02-15
13 june 1970,1970-06-13
16 july 2013,2013-07-16
saturday april 3 1971,1971-04-03
june 20 1973,1973-06-20
28 jul 1984,1984-07-28
june 17 1976,1976-06-17
8/21/89,1989-08-21
sunday october 3 1971,1971-10-03
2/11/09,2009-02-11
7/9/02,2002-07-09
31 aug 2011,2011-08-31
thursday april 4 1985,1985-04-04
thursday september 28 1995,1995-09-28
10 november 1985,1985-11-10
07 oct 1979,1979-10-07
9 jul 1971,1971-07-09
wednesday november 25 2009,2009-11-25
22 jan 1980,1980-01-22
saturday december 16 1978,1978-12-16
wednesday january 21 1981,1981-01-21
january 17 1974,1974-01-17
22.05.89,1989-05-22
9 sep 1970,1970-09-09
12 jan 1974,1974-01-12
thursday august 31 2000,2000-08-31
wednesday february 24 2010,2010-02-24
thursday september 11 2008,2008-09-11
25 mar 1981,1981-03-25
22 09 17,2017-09-22
friday february 12 1971,1971-02-12
7 july 1995,1995-07-07
monday march 1 2004,2004-03-01
08.10.91,1991-10-08
november 20 2012,2012-11-20
sunday july 15 1973,1973-07-15
22 nov 1987,1987-11-22
wednesday september 26 2007,2007-09-26
thursday june 14 1990,1990-06-14
february 9 1990,1990-02-09
14 march 2008,2008-03-14
monday july 7 1986,1986-07-07
friday april 2 1976,1976-04-02
16 august 2000,2000-08-16
sunday march 26 1989,1989-03-26
24.02.71,1971-02-24
5 aug 1987,1987-08-05
wednesday august 6 2008,2008-08-06
monday august 31 1992,1992-08-31
sunday february 18 2007,2007-02-18
thursday november 4 1993,1993-11-04
may 16 2004,2004-05-16
tuesday april 25 1972,1972-04-25
friday december 18 1998,1998-12-18
friday september 23 1983,1983-09-23
june 28 1981,1981-06-28
27 01 88,1988-01-27
friday december 26 1986,1986-12-26
sunday november 27 2011,2011-11-27
02 feb 2008,2008-02-02
3 11 95,1995-11-03
29 nov 2009,2009-11-29
03 mar 2005,2005-03-03
august 5 2009,2009-08-05
may 17 2017,2017-05-17
december 23 2013,2013-12-23
7 january 1981,1981-01-07
thursday april 12 2007,2007-04-12
saturday december 14 1991,1991-12-14
18 july 2003,2003-07-18
friday december 17 2004,2004-12-17
thursday august 10 2000,2000-08-10
saturday march 31 2018,2018-03-31
wednesday october 15 2003,2003-10-15
5 jul 2016,2016-07-05
saturday september 15 1973,1973-09-15
saturday july 25 1981,1981-07-25
3 sep 1975,1975-09-03
friday september 11 2015,2015-09-11
wednesday september 18 2002,2002-09-18
february 21 1996,1996-02-21
wednesday april 26 1978,1978-04-26
21 march 1991,1991-03-21
16 jun 1976,1976-06-16
jul 27 1989,1989-07-27
14 jun 2015,2015-06-14
3/29/80,1980-03-29
27 12 05,2005-12-27
22 aug 2007,2007-08-22
30 december 2008,2008-12-30
tuesday august 9 2011,2011-08-09
saturday september 13 2014,2014-09-13
16 aug 1999,1999-08-16
sunday march 11 2018,2018-03-11
friday may 2 2014,2014-05-02
sunday april 12 1981,1981-04-12
15 november 2006,2006-11-15
saturday june 21 1997,1997-06-21
monday september 5 2005,2005-09-05
thursday december 21 1989,1989-12-21
friday june 4 1993,1993-06-04
july 6 2014,2014-07-06
friday may 19 2017,2017-05-19
11 july 1981,1981-07-11
13 10 95,1995-10-13
18.09.92,1992-09-18
thursday january 6 1972,1972-01-06
monday february 7 2000,2000-02-07
tuesday january 28 1992,1992-01-28
6/24/78,1978-06-24
december 5 1981,1981-12-05
wednesday january 16 2013,2013-01-16
16 jul 1993,1993-07-16
28 march 2000,2000-03-28
11 jul 1988,1988-07-11
12 apr 2005,2005-04-12
monday august 20 2007,2007-08-20
